title,price,description,stock
Fancy Widget,12.99,This widget is super fancy,5
Wooden Spoon,3.75,A sturdy spoon for all your stirring needs,10
Galaxy Gloves,49.95,Gloves that make you feel like you're in space!,2
Random Book of Facts,7.23,A book filled with interesting and random facts,15
Charging Cable,9.99,Never run out of power again!,8
Comfortable Pillow,24.50,Sleep soundly with this cloud-like pillow,3
Robot Vacuum Cleaner,199.00,Let this robot clean your floors for you!,1
Colorful Notebook,5.99,A beautiful notebook to capture your thoughts,20
Stainless Steel Mug,14.95,Keeps your drinks hot or cold for hours,7
Happy Planner,18.75,Plan your days with a touch of joy!,4
